"Date","Cancer Site","Stage","Observed Count","Proportion (where stage known)","Proportion of total","Rolling Average","Rolling Proportion","LowerCI (rolling average)","Upper (rolling average)"
2025-05-01,"All Cancers Combined (excluding Lung and Prostate)","Early stages (I+II)",6181,0.657413316315678,0.44959266802444,7415.25,0.509294978193432,64.1292806308539,65.8795350828316
2025-05-01,"All Cancers Combined (excluding Lung and Prostate)","Late stages (III+IV)",3221,0.342586683684322,0.234288623799825,3991.16666666667,0.274121727583878,34.1204649171684,35.8707193691461
2025-05-01,"All Cancers Combined (excluding Lung)","Stage I",5364,0.403611738148984,0.287907251355268,6179.58333333333,0.318361546750699,NA,NA
2025-05-01,"All Cancers Combined (excluding Lung)","Stage II",3141,0.236343115124153,0.168589984434545,3645.41666666667,0.187805621503733,NA,NA
2025-05-01,"All Cancers Combined (excluding Lung)","Stage III",2659,0.20007524454477,0.142719124040578,3208,0.165270664199513,NA,NA
2025-05-01,"All Cancers Combined (excluding Lung)","Stage IV",2126,0.159969902182092,0.114110890451398,2597.41666666667,0.133814456889927,NA,NA
2025-05-01,"All Cancers Combined (excluding Lung)","Unknown stage",5341,NA,0.286672749718212,3780.16666666667,0.194747710656128,NA,NA
2025-05-01,"All Cancers Combined (excluding Lung)","Total",18631,NA,NA,19410.5833333333,1,NA,NA
2025-05-01,"All Cancers Combined (excluding Lung)","TotalKnown",13290,NA,NA,15630.4166666667,NA,NA,NA
2025-05-01,"All Cancers Combined (excluding Lung)","Early stages (I+II)",8505,0.639954853273138,0.456497235789813,9825,0.506167168254432,62.0976491791599,63.6124504051658
2025-05-01,"All Cancers Combined (excluding Lung)","Late stages (III+IV)",4785,0.360045146726862,0.256830014491976,5805.41666666667,0.29908512108944,36.3875495948341,37.9023508208401
2025-05-01,"All Cancers Combined (excluding Prostate)","Stage I",4456,0.366839548859801,0.264043612230386,5355,0.298958808258818,NA,NA
2025-05-01,"All Cancers Combined (excluding Prostate)","Stage II",2845,0.234214209269779,0.168582602512444,3312.83333333333,0.184948777832572,NA,NA
2025-05-01,"All Cancers Combined (excluding Prostate)","Stage III",2145,0.176586811558409,0.127103579047168,2637.41666666667,0.147241632782187,NA,NA
2025-05-01,"All Cancers Combined (excluding Prostate)","Stage IV",2701,0.222359430312011,0.160049774828158,3142.75,0.175453369683548,NA,NA
2025-05-01,"All Cancers Combined (excluding Prostate)","Unknown stage",4729,NA,0.280220431381844,3464.16666666667,0.193397411442874,NA,NA
2025-05-01,"All Cancers Combined (excluding Prostate)","Total",16876,NA,NA,17912.1666666667,1,NA,NA
2025-05-01,"All Cancers Combined (excluding Prostate)","TotalKnown",12147,NA,NA,14448,NA,NA,NA
2025-05-01,"All Cancers Combined (excluding Prostate)","Early stages (I+II)",7301,0.601053758129579,0.43262621474283,8667.83333333333,0.48390758609139,59.1919108224146,60.7893951924267
2025-05-01,"All Cancers Combined (excluding Prostate)","Late stages (III+IV)",4846,0.398946241870421,0.287153353875326,5780.16666666667,0.322695002465736,39.2106048075733,40.8080891775854
2025-05-01,"Bladder","Stage I",178,0.441687344913151,0.234828496042216,228.75,0.2872240242754,NA,NA
2025-05-01,"Bladder","Stage II",147,0.364764267990074,0.193931398416887,163.666666666667,0.205503819190122,NA,NA
2025-05-01,"Bladder","Stage III",42,0.104218362282878,0.0554089709762533,63,0.0791043214397824,NA,NA
2025-05-01,"Bladder","Stage IV",36,0.0893300248138958,0.0474934036939314,44.5,0.0558752746677828,NA,NA
2025-05-01,"Bladder","Unknown stage",355,NA,0.468337730870712,296.5,0.372292560426912,NA,NA
2025-05-01,"Bladder","Total",758,NA,NA,796.416666666667,1,NA,NA
2025-05-01,"Bladder","TotalKnown",403,NA,NA,499.916666666667,NA,NA,NA
2025-05-01,"Bladder","Early stages (I+II)",325,0.806451612903226,0.428759894459103,392.416666666667,0.492727843465523,74.6848283879556,81.8733991127966
2025-05-01,"Bladder","Late stages (III+IV)",78,0.193548387096774,0.102902374670185,107.5,0.134979596107565,18.1266008872034,25.3151716120443
2025-05-01,"Blood","Stage I",87,0.17827868852459,0.0853778213935231,113.333333333333,0.102271018198225,NA,NA
2025-05-01,"Blood","Stage II",74,0.151639344262295,0.0726202158979392,104.25,0.0940742968867499,NA,NA
2025-05-01,"Blood","Stage III",104,0.213114754098361,0.102060843964671,132.666666666667,0.119717250714393,NA,NA
2025-05-01,"Blood","Stage IV",223,0.456967213114754,0.218842001962709,276.166666666667,0.249210407580087,NA,NA
2025-05-01,"Blood","Unknown stage",531,NA,0.521099116781158,481.75,0.434727026620544,NA,NA
2025-05-01,"Blood","Total",1019,NA,NA,1108.16666666667,1,NA,NA
2025-05-01,"Blood","TotalKnown",488,NA,NA,626.416666666667,NA,NA,NA
2025-05-01,"Blood","Early stages (I+II)",161,0.329918032786885,0.157998037291462,217.583333333333,0.196345315084975,31.1093184578199,38.5459716104974
2025-05-01,"Blood","Late stages (III+IV)",327,0.670081967213115,0.32090284592738,408.833333333333,0.36892765829448,61.4540283895026,68.8906815421801
2025-05-01,"Bowel","Stage I",521,0.236174070716228,0.180214458664822,610.666666666667,0.199054707448253,NA,NA
2025-05-01,"Bowel","Stage II",512,0.232094288304624,0.177101349014182,627.583333333333,0.204568914000109,NA,NA
2025-05-01,"Bowel","Stage III",771,0.349501359927471,0.266689726738153,829.333333333333,0.270331938936274,NA,NA
2025-05-01,"Bowel","Stage IV",402,0.182230281051677,0.139052231061916,490.916666666667,0.160020644320096,NA,NA
2025-05-01,"Bowel","Unknown stage",685,NA,0.236942234520927,509.333333333333,0.166023795295268,NA,NA
2025-05-01,"Bowel","Total",2891,NA,NA,3067.83333333333,1,NA,NA
2025-05-01,"Bowel","TotalKnown",2206,NA,NA,2558.5,NA,NA,NA
2025-05-01,"Bowel","Early stages (I+II)",1033,0.468268359020852,0.357315807679004,1238.25,0.403623621448362,46.4649197610593,50.3348822435595
2025-05-01,"Bowel","Late stages (III+IV)",1173,0.531731640979148,0.405741957800069,1320.25,0.43035258325637,49.6651177564405,53.5350802389407
2025-05-01,"Breast","Stage I",1212,0.44120859119039,0.303987960872837,1412.25,0.351831091180867,NA,NA
2025-05-01,"Breast","Stage II",1251,0.455405897342555,0.313769751693002,1438.75,0.358432984554061,NA,NA
2025-05-01,"Breast","Stage III",192,0.0698944302875865,0.0481565086531226,318.083333333333,0.0792434811493107,NA,NA
2025-05-01,"Breast","Stage IV",92,0.0334910811794685,0.0230749937296213,150.833333333333,0.0375768144826441,NA,NA
2025-05-01,"Breast","Unknown stage",1240,NA,0.311010785051417,694.083333333333,0.172915628633117,NA,NA
2025-05-01,"Breast","Total",3987,NA,NA,4014,1,NA,NA
2025-05-01,"Breast","TotalKnown",2747,NA,NA,3319.91666666667,NA,NA,NA
2025-05-01,"Breast","Early stages (I+II)",2463,0.896614488532945,0.617757712565839,2851,0.710264075734928,84.6494575613879,87.0189143055948
2025-05-01,"Breast","Late stages (III+IV)",284,0.103385511467055,0.0712315023827439,468.916666666667,0.116820295631955,12.9810856944052,15.3505424386121
2025-05-01,"Cervical","Stage I",60,0.476190476190476,0.372670807453416,83,0.424733475479744,NA,NA
2025-05-01,"Cervical","Stage II",20,0.158730158730159,0.124223602484472,27.25,0.139445628997868,NA,NA
2025-05-01,"Cervical","Stage III",29,0.23015873015873,0.180124223602484,35.3333333333333,0.180810234541578,NA,NA
2025-05-01,"Cervical","Stage IV",17,0.134920634920635,0.105590062111801,22.0833333333333,0.113006396588486,NA,NA
2025-05-01,"Cervical","Unknown stage",35,NA,0.217391304347826,27.75,0.142004264392324,NA,NA
2025-05-01,"Cervical","Total",161,NA,NA,195.416666666667,1,NA,NA
2025-05-01,"Cervical","TotalKnown",126,NA,NA,167.666666666667,NA,NA,NA
2025-05-01,"Cervical","Early stages (I+II)",80,0.634920634920635,0.496894409937888,110.25,0.564179104477612,58.2920307179152,72.5131181245674
2025-05-01,"Cervical","Late stages (III+IV)",46,0.365079365079365,0.285714285714286,57.4166666666667,0.293816631130064,27.4868818754326,41.7079692820848
2025-05-01,"Gynaecological","Stage I",495,0.617977528089888,0.407072368421053,680.5,0.481542634744663,NA,NA
2025-05-01,"Gynaecological","Stage II",67,0.083645443196005,0.0550986842105263,86.75,0.0613869560089633,NA,NA
2025-05-01,"Gynaecological","Stage III",148,0.184769038701623,0.121710526315789,222.75,0.157624719896214,NA,NA
2025-05-01,"Gynaecological","Stage IV",91,0.113607990012484,0.0748355263157895,154.833333333333,0.109564807170657,NA,NA
2025-05-01,"Gynaecological","Unknown stage",415,NA,0.341282894736842,268.333333333333,0.189880882179502,NA,NA
2025-05-01,"Gynaecological","Total",1216,NA,NA,1413.16666666667,1,NA,NA
2025-05-01,"Gynaecological","TotalKnown",801,NA,NA,1144.83333333333,NA,NA,NA
2025-05-01,"Gynaecological","Early stages (I+II)",562,0.701622971285893,0.462171052631579,767.25,0.542929590753627,64.2421485797954,69.6810008902084
2025-05-01,"Gynaecological","Late stages (III+IV)",239,0.298377028714107,0.196546052631579,377.583333333333,0.267189527066871,30.3189991097916,35.7578514202046
2025-05-01,"Hodgkin Lymphoma","Stage I",9,0.107142857142857,0.0625,12.25,0.0817120622568093,NA,NA
2025-05-01,"Hodgkin Lymphoma","Stage II",29,0.345238095238095,0.201388888888889,37.0833333333333,0.247359644246804,NA,NA
2025-05-01,"Hodgkin Lymphoma","Stage III",18,0.214285714285714,0.125,23.9166666666667,0.159533073929961,NA,NA
2025-05-01,"Hodgkin Lymphoma","Stage IV",28,0.333333333333333,0.194444444444444,34.0833333333333,0.227348526959422,NA,NA
2025-05-01,"Hodgkin Lymphoma","Unknown stage",60,NA,0.416666666666667,42.5833333333333,0.284046692607004,NA,NA
2025-05-01,"Hodgkin Lymphoma","Total",144,NA,NA,149.916666666667,1,NA,NA
2025-05-01,"Hodgkin Lymphoma","TotalKnown",84,NA,NA,107.333333333333,NA,NA,NA
2025-05-01,"Hodgkin Lymphoma","Early stages (I+II)",38,0.452380952380952,0.263888888888889,49.3333333333333,0.329071706503613,36.8372691448206,55.3671987037368
2025-05-01,"Hodgkin Lymphoma","Late stages (III+IV)",46,0.547619047619048,0.319444444444444,58,0.386881600889383,44.6328012962632,63.1627308551794
2025-05-01,"Kidney","Stage I",277,0.548514851485149,0.363040629095675,353,0.388909291222916,NA,NA
2025-05-01,"Kidney","Stage II",33,0.0653465346534653,0.0432503276539974,45.4166666666667,0.0500367242012486,NA,NA
2025-05-01,"Kidney","Stage III",123,0.243564356435644,0.161205766710354,166.25,0.183161953727506,NA,NA
2025-05-01,"Kidney","Stage IV",72,0.142574257425743,0.0943643512450852,102.916666666667,0.113385971355123,NA,NA
2025-05-01,"Kidney","Unknown stage",258,NA,0.338138925294889,240.083333333333,0.264506059493206,NA,NA
2025-05-01,"Kidney","Total",763,NA,NA,907.666666666667,1,NA,NA
2025-05-01,"Kidney","TotalKnown",505,NA,NA,667.583333333333,NA,NA,NA
2025-05-01,"Kidney","Early stages (I+II)",310,0.613861386138614,0.406290956749672,398.416666666667,0.438946015424165,55.9142188402503,63.3358895129648
2025-05-01,"Kidney","Late stages (III+IV)",195,0.386138613861386,0.255570117955439,269.166666666667,0.296547925082629,36.6641104870352,44.0857811597497
2025-05-01,"Lung","Stage I",888,0.323497267759563,0.283887468030691,994.666666666667,0.296708760067615,NA,NA
2025-05-01,"Lung","Stage II",232,0.0845173041894353,0.0741687979539642,257.916666666667,0.0769364621656558,NA,NA
2025-05-01,"Lung","Stage III",512,0.186520947176685,0.163682864450128,569.916666666667,0.170005965993835,NA,NA
2025-05-01,"Lung","Stage IV",1113,0.405464480874317,0.355818414322251,1219.08333333333,0.363652182559411,NA,NA
2025-05-01,"Lung","Unknown stage",383,NA,0.122442455242967,310.75,0.0926966292134832,NA,NA
2025-05-01,"Lung","Total",3128,NA,NA,3352.33333333333,1,NA,NA
2025-05-01,"Lung","TotalKnown",2745,NA,NA,3041.58333333333,NA,NA,NA
2025-05-01,"Lung","Early stages (I+II)",1120,0.408014571948998,0.358056265984655,1252.58333333333,0.37364522223327,39.4450720322285,42.9410742929527
2025-05-01,"Lung","Late stages (III+IV)",1625,0.591985428051002,0.519501278772379,1789,0.533658148553246,57.0589257070473,60.5549279677715
2025-05-01,"Melanoma Skin","Stage I",671,0.67032967032967,0.523400936037442,810.083333333333,0.575036971310263,NA,NA
2025-05-01,"Melanoma Skin","Stage II",294,0.293706293706294,0.229329173166927,339.083333333333,0.24069801833777,NA,NA
2025-05-01,"Melanoma Skin","Stage III",26,0.025974025974026,0.0202808112324493,54.3333333333333,0.0385684708666075,NA,NA
2025-05-01,"Melanoma Skin","Stage IV",10,0.00999000999000999,0.0078003120124805,23.25,0.0165039929015084,NA,NA
2025-05-01,"Melanoma Skin","Unknown stage",281,NA,0.219188767550702,182,0.129192546583851,NA,NA
2025-05-01,"Melanoma Skin","Total",1282,NA,NA,1408.75,1,NA,NA
2025-05-01,"Melanoma Skin","TotalKnown",1001,NA,NA,1226.75,NA,NA,NA
2025-05-01,"Melanoma Skin","Early stages (I+II)",965,0.964035964035964,0.752730109204368,1149.16666666667,0.815734989648033,92.1726323752072,94.9060910835317
2025-05-01,"Melanoma Skin","Late stages (III+IV)",36,0.035964035964036,0.0280811232449298,77.5833333333333,0.0550724637681159,5.09390891646828,7.82736762479279
2025-05-01,"Non-Hodgkin Lymphoma","Stage I",73,0.192105263157895,0.0913642052565707,90,0.104106419895894,NA,NA
2025-05-01,"Non-Hodgkin Lymphoma","Stage II",42,0.110526315789474,0.0525657071339174,65.0833333333333,0.075284364758049,NA,NA
2025-05-01,"Non-Hodgkin Lymphoma","Stage III",85,0.223684210526316,0.106382978723404,104.416666666667,0.120782726045884,NA,NA
2025-05-01,"Non-Hodgkin Lymphoma","Stage IV",180,0.473684210526316,0.225281602002503,226.083333333333,0.261519182571814,NA,NA
2025-05-01,"Non-Hodgkin Lymphoma","Unknown stage",419,NA,0.524405506883605,378.916666666667,0.438307306728359,NA,NA
2025-05-01,"Non-Hodgkin Lymphoma","Total",799,NA,NA,864.5,1,NA,NA
2025-05-01,"Non-Hodgkin Lymphoma","TotalKnown",380,NA,NA,485.583333333333,NA,NA,NA
2025-05-01,"Non-Hodgkin Lymphoma","Early stages (I+II)",115,0.302631578947368,0.143929912390488,155.083333333333,0.179390784653943,27.9463042737196,36.2123020170175
2025-05-01,"Non-Hodgkin Lymphoma","Late stages (III+IV)",265,0.697368421052632,0.331664580725907,330.5,0.382301908617698,63.7876979829825,72.0536957262805
2025-05-01,"Oesophageal","Stage I",23,0.0412926391382406,0.0317241379310345,32.6666666666667,0.045735620114339,NA,NA
2025-05-01,"Oesophageal","Stage II",138,0.247755834829443,0.190344827586207,141.5,0.198109905495275,NA,NA
2025-05-01,"Oesophageal","Stage III",136,0.244165170556553,0.187586206896552,148.5,0.207910395519776,NA,NA
2025-05-01,"Oesophageal","Stage IV",260,0.466786355475763,0.358620689655172,265.416666666667,0.371601913429005,NA,NA
2025-05-01,"Oesophageal","Unknown stage",168,NA,0.231724137931034,126.166666666667,0.176642165441605,NA,NA
2025-05-01,"Oesophageal","Total",725,NA,NA,714.25,1,NA,NA
2025-05-01,"Oesophageal","TotalKnown",557,NA,NA,588.083333333333,NA,NA,NA
2025-05-01,"Oesophageal","Early stages (I+II)",161,0.289048473967684,0.222068965517241,174.166666666667,0.243845525609614,26.0678664250819,33.4286771936531
2025-05-01,"Oesophageal","Late stages (III+IV)",396,0.710951526032316,0.546206896551724,413.916666666667,0.579512308948781,66.5713228063469,73.9321335749181
2025-05-01,"Oesophago-gastric","Stage I",54,0.0714285714285714,0.0510879848628193,71.4166666666667,0.0684231536926148,NA,NA
2025-05-01,"Oesophago-gastric","Stage II",172,0.227513227513228,0.162724692526017,177.25,0.169820359281437,NA,NA
2025-05-01,"Oesophago-gastric","Stage III",166,0.21957671957672,0.157048249763482,191.166666666667,0.18315369261477,NA,NA
2025-05-01,"Oesophago-gastric","Stage IV",364,0.481481481481481,0.344370860927152,373.166666666667,0.3575249500998,NA,NA
2025-05-01,"Oesophago-gastric","Unknown stage",301,NA,0.28476821192053,230.75,0.221077844311377,NA,NA
2025-05-01,"Oesophago-gastric","Total",1057,NA,NA,1043.75,1,NA,NA
2025-05-01,"Oesophago-gastric","TotalKnown",756,NA,NA,813,NA,NA,NA
2025-05-01,"Oesophago-gastric","Early stages (I+II)",226,0.298941798941799,0.213812677388836,248.666666666667,0.238243512974052,27.5164447886903,33.8387651779528
2025-05-01,"Oesophago-gastric","Late stages (III+IV)",530,0.701058201058201,0.501419110690634,564.333333333333,0.540678642714571,66.1612348220472,72.4835552113097
2025-05-01,"Ovarian","Stage I",115,0.440613026819923,0.285359801488834,129.666666666667,0.273270108886547,NA,NA
2025-05-01,"Ovarian","Stage II",23,0.0881226053639847,0.0570719602977667,29.3333333333333,0.061819459079733,NA,NA
2025-05-01,"Ovarian","Stage III",66,0.252873563218391,0.163771712158809,105.583333333333,0.22251492799438,NA,NA
2025-05-01,"Ovarian","Stage IV",57,0.218390804597701,0.141439205955335,88.25,0.185985247629083,NA,NA
2025-05-01,"Ovarian","Unknown stage",142,NA,0.352357320099256,121.666666666667,0.256410256410256,NA,NA
2025-05-01,"Ovarian","Total",403,NA,NA,474.5,1,NA,NA
2025-05-01,"Ovarian","TotalKnown",261,NA,NA,352.833333333333,NA,NA,NA
2025-05-01,"Ovarian","Early stages (I+II)",138,0.528735632183908,0.3424317617866,159,0.33508956796628,39.9530305427414,50.2808368065691
2025-05-01,"Ovarian","Late stages (III+IV)",123,0.471264367816092,0.305210918114144,193.833333333333,0.408500175623463,49.7191631934309,60.0469694572586
2025-05-01,"Pancreatic","Stage I",73,0.147474747474747,0.0941935483870968,80.3333333333333,0.100406207686699,NA,NA
2025-05-01,"Pancreatic","Stage II",63,0.127272727272727,0.0812903225806452,72.1666666666667,0.0901989376106656,NA,NA
2025-05-01,"Pancreatic","Stage III",61,0.123232323232323,0.0787096774193548,89.9166666666667,0.112384126653474,NA,NA
2025-05-01,"Pancreatic","Stage IV",298,0.602020202020202,0.384516129032258,307.083333333333,0.383814186022289,NA,NA
2025-05-01,"Pancreatic","Unknown stage",280,NA,0.361290322580645,250.583333333333,0.313196542026872,NA,NA
2025-05-01,"Pancreatic","Total",775,NA,NA,800.083333333333,1,NA,NA
2025-05-01,"Pancreatic","TotalKnown",495,NA,NA,549.5,NA,NA,NA
2025-05-01,"Pancreatic","Early stages (I+II)",136,0.274747474747475,0.175483870967742,152.5,0.190605145297365,24.1728523840639,31.6410494838552
2025-05-01,"Pancreatic","Late stages (III+IV)",359,0.725252525252525,0.463225806451613,397,0.496198312675763,68.3589505161448,75.8271476159361
2025-05-01,"Prostate","Stage I",1796,0.461934156378601,0.367806676223633,1819.25,0.375045096119157,NA,NA
2025-05-01,"Prostate","Stage II",528,0.135802469135802,0.108130247798485,590.5,0.121733752512498,NA,NA
2025-05-01,"Prostate","Stage III",1026,0.263888888888889,0.21011673151751,1140.5,0.235118280678246,NA,NA
2025-05-01,"Prostate","Stage IV",538,0.138374485596708,0.110178169158304,673.75,0.138896047003041,NA,NA
2025-05-01,"Prostate","Unknown stage",995,NA,0.203768175302068,626.75,0.129206823687059,NA,NA
2025-05-01,"Prostate","Total",4883,NA,NA,4850.75,1,NA,NA
2025-05-01,"Prostate","TotalKnown",3888,NA,NA,4224,NA,NA,NA
2025-05-01,"Prostate","Early stages (I+II)",2324,0.597736625514403,0.475936924022118,2409.75,0.496778848631655,55.5504821061536,58.5347196640686
2025-05-01,"Prostate","Late stages (III+IV)",1564,0.402263374485597,0.320294900675814,1814.25,0.374014327681286,41.4652803359314,44.4495178938464
2025-05-01,"Stomach","Stage I",31,0.155778894472362,0.0933734939759036,38.75,0.117602427921093,NA,NA
2025-05-01,"Stomach","Stage II",34,0.170854271356784,0.102409638554217,35.75,0.108497723823976,NA,NA
2025-05-01,"Stomach","Stage III",30,0.150753768844221,0.0903614457831325,42.6666666666667,0.129489124936773,NA,NA
2025-05-01,"Stomach","Stage IV",104,0.522613065326633,0.313253012048193,107.75,0.32701062215478,NA,NA
2025-05-01,"Stomach","Unknown stage",133,NA,0.400602409638554,104.583333333333,0.317400101163379,NA,NA
2025-05-01,"Stomach","Total",332,NA,NA,329.5,1,NA,NA
2025-05-01,"Stomach","TotalKnown",199,NA,NA,224.916666666667,NA,NA,NA
2025-05-01,"Stomach","Early stages (I+II)",65,0.326633165829146,0.19578313253012,74.5,0.226100151745068,27.3011220020118,39.5124429784981
2025-05-01,"Stomach","Late stages (III+IV)",134,0.673366834170854,0.403614457831325,150.416666666667,0.456499747091553,60.4875570215019,72.6988779979882
2025-05-01,"Urological excl prostate","Stage I",455,0.501101321585903,0.299145299145299,581.75,0.341385886840432,NA,NA
2025-05-01,"Urological excl prostate","Stage II",180,0.198237885462555,0.118343195266272,209.083333333333,0.12269548633185,NA,NA
2025-05-01,"Urological excl prostate","Stage III",165,0.181718061674009,0.108481262327416,229.25,0.134529805858477,NA,NA
2025-05-01,"Urological excl prostate","Stage IV",108,0.118942731277533,0.0710059171597633,147.416666666667,0.0865078976967089,NA,NA
2025-05-01,"Urological excl prostate","Unknown stage",613,NA,0.403024326101249,536.583333333333,0.314880923272532,NA,NA
2025-05-01,"Urological excl prostate","Total",1521,NA,NA,1704.08333333333,1,NA,NA
2025-05-01,"Urological excl prostate","TotalKnown",908,NA,NA,1167.5,NA,NA,NA
2025-05-01,"Urological excl prostate","Early stages (I+II)",635,0.699339207048458,0.417488494411571,790.833333333333,0.464081373172282,65.0013917861658,70.3569286717858
2025-05-01,"Urological excl prostate","Late stages (III+IV)",273,0.300660792951542,0.179487179487179,376.666666666667,0.221037703555186,29.6430713282142,34.9986082138342
2025-05-01,"Uterine","Stage I",320,0.772946859903382,0.49079754601227,467.833333333333,0.629442762641552,NA,NA
2025-05-01,"Uterine","Stage II",24,0.0579710144927536,0.0368098159509202,30.1666666666667,0.0405875098105169,NA,NA
2025-05-01,"Uterine","Stage III",53,0.128019323671498,0.0812883435582822,81.8333333333333,0.110102029375491,NA,NA
2025-05-01,"Uterine","Stage IV",17,0.0410628019323672,0.0260736196319018,44.5,0.0598721829801547,NA,NA
2025-05-01,"Uterine","Unknown stage",238,NA,0.365030674846626,118.916666666667,0.159995515192286,NA,NA
2025-05-01,"Uterine","Total",652,NA,NA,743.25,1,NA,NA
2025-05-01,"Uterine","TotalKnown",414,NA,NA,624.333333333333,NA,NA,NA
2025-05-01,"Uterine","Early stages (I+II)",344,0.830917874396135,0.52760736196319,498,0.670030272452069,76.4360908950972,82.7300315454758
2025-05-01,"Uterine","Late stages (III+IV)",70,0.169082125603865,0.107361963190184,126.333333333333,0.169974212355645,17.2699684545242,23.5639091049028
2025-04-01,"All Cancers Combined","Stage I",6920,0.399422799422799,0.31206313416009,7277,0.316994282602777,NA,NA
2025-04-01,"All Cancers Combined","Stage II",3525,0.203463203463203,0.158962795941375,3980.41666666667,0.173391414828932,NA,NA
2025-04-01,"All Cancers Combined","Stage III",3429,0.197922077922078,0.154633596392334,3868,0.168494418731282,NA,NA
2025-04-01,"All Cancers Combined","Stage IV",3451,0.199191919191919,0.155625704622322,3895.16666666667,0.169677829204102,NA,NA
2025-04-01,"All Cancers Combined","Unknown stage",4850,NA,0.218714768883878,3935.66666666667,0.171442054632907,NA,NA
2025-04-01,"All Cancers Combined","Total",22175,NA,NA,22956.25,1,NA,NA
2025-04-01,"All Cancers Combined","TotalKnown",17325,NA,NA,19020.5833333333,NA,NA,NA
2025-04-01,"All Cancers Combined","Early stages (I+II)",10445,0.602886002886003,0.471025930101466,11257.4166666667,0.490385697431709,58.4851816656241,59.8819965180816
2025-04-01,"All Cancers Combined","Late stages (III+IV)",6880,0.397113997113997,0.310259301014656,7763.16666666667,0.338172247935384,40.1180034819184,41.5148183343759
2025-04-01,"All Cancers Combined (excluding Lung and Prostate)","Stage I",3959,0.387415598395146,0.285559723023658,4441.16666666667,0.302530071922843,NA,NA
2025-04-01,"All Cancers Combined (excluding Lung and Prostate)","Stage II",2771,0.271161561796653,0.199870167339873,3112.08333333333,0.211993574060093,NA,NA
2025-04-01,"All Cancers Combined (excluding Lung and Prostate)","Stage III",1813,0.177414619825815,0.130770340450087,2119.41666666667,0.144373612774678,NA,NA
2025-04-01,"All Cancers Combined (excluding Lung and Prostate)","Stage IV",1676,0.164008219982386,0.120888632429313,1961.83333333333,0.133639114219379,NA,NA
2025-04-01,"All Cancers Combined (excluding Lung and Prostate)","Unknown stage",3645,NA,0.262911136757069,3045.58333333333,0.207463627023007,NA,NA
2025-04-01,"All Cancers Combined (excluding Lung and Prostate)","Total",13864,NA,NA,14680.0833333333,1,NA,NA
2025-04-01,"All Cancers Combined (excluding Lung and Prostate)","TotalKnown",10219,NA,NA,11634.5,NA,NA,NA
2025-04-01,"All Cancers Combined (excluding Lung and Prostate)","Early stages (I+II)",6730,0.6585771601918,0.485429890363531,7553.25,0.514523645982936,64.0492022108826,65.7832271974208
2025-04-01,"All Cancers Combined (excluding Lung and Prostate)","Late stages (III+IV)",3489,0.3414228398082,0.2516589728794,4081.25,0.278012726994057,34.2167728025792,35.9507977891174
2025-04-01,"All Cancers Combined (excluding Lung)","Stage I",5947,0.41124403568218,0.314041294819665,6271,0.320573225072633,NA,NA
2025-04-01,"All Cancers Combined (excluding Lung)","Stage II",3313,0.229098955812185,0.174948513492105,3717.5,0.190038425164649,NA,NA
2025-04-01,"All Cancers Combined (excluding Lung)","Stage III",2905,0.200885139340295,0.15340339018852,3288,0.168082405364187,NA,NA
